xai,variant,ROC,ROC-std,Cos,Cos-std,Pearson,Pearson-std,model
shap,zeros,0.8718475274725275,0.0870664981637609,0.6594440935460704,0.1324231863012953,0.3204858712934491,0.3011921958353932,IF
shap,mean,0.6575509386446885,0.1867757390768959,0.3336342485709638,0.2573769881556397,0.2945326444956057,0.281828157935568,IF
shap,kmeans,0.7351493818681318,0.1928589550419735,0.5282418060955825,0.2312149648527856,0.3291384308473227,0.3075797696258828,IF
shap,NN,0.6883173076923077,0.1173217409061598,0.4384890013815141,0.2271549954747297,0.311168088817739,0.271921339560443,IF
shap,zeros,0.8520758928571428,0.0915464899719599,0.481236362545995,0.1385627841407544,0.3015012735435528,0.2739109606453302,OCSVM
shap,mean,0.9014834210927962,0.0753952333638666,0.7103171302877025,0.128646888490262,0.3294843677805962,0.3196577332262987,OCSVM
shap,kmeans,0.8811717796092797,0.0866470486786391,0.6855855541673461,0.1256074241024653,0.3211658615632163,0.3037113487197223,OCSVM
shap,NN,0.7132840163308913,0.1194896791683768,0.5638272306971023,0.1814054793030007,0.2961291824641915,0.2571206234356623,OCSVM
shap,zeros,0.5185427636599511,0.1165814595444606,-0.2065579348110234,0.1661734173646461,0.2933900034512325,0.3274947236531492,AE
shap,mean,0.8259404571123323,0.1269027861517272,0.573778411646032,0.196154602682725,0.3143758020824079,0.3036257311294727,AE
shap,kmeans,0.9130059523809524,0.0871487624496802,0.717625947603316,0.1586289643184221,0.3434506303252445,0.3386051572810681,AE
shap,NN,0.7538158195970694,0.1162961947341111,0.6114149258859799,0.1572775250912556,0.3051495129722932,0.2855446658625653,AE
shap,optimized,0.8851367902930403,0.0868357391083842,0.688993145921217,0.1427413575682223,0.3304157952831262,0.3215117275067486,AE
reconstruction,,0.8785897435897436,0.102886822052132,0.7270042753736954,0.1478668536171334,0.3450267451929781,0.340651403869375,AE
uniform_noise,baseline,0.4942652052808302,0.2165195160558309,-0.0169764167905435,0.3807551965283974,0.1727277988388796,0.3868812210074523,baseline
uniform_noise_times_input,baseline,0.4982530143467644,0.19233794693983292,-0.0022443166708563723,0.26356645580054067,0.24905051841171452,0.38110338221077417,baseline
