cpus,n_layers,n_bottleneck,epochs,batch_size,verbose,learning_rate,n_inputs,auc_pr_test,auc_roc_test,auc_pr_valid,auc_roc_valid,seed
8.0,2.0,8.0,10.0,2048.0,2.0,0.001,146.0,0.997272458739186,0.9995349851097276,0.9740779356714308,0.9978948361309496,0.0
8.0,2.0,8.0,10.0,2048.0,2.0,0.01,146.0,0.9964200664692608,0.9994399008588696,0.9821748054890352,0.9978940368814928,0.0
8.0,3.0,8.0,10.0,2048.0,2.0,0.01,146.0,0.9932120103422712,0.9991108873034108,0.973755869907931,0.9974850309869832,0.0
8.0,3.0,32.0,10.0,2048.0,2.0,0.01,146.0,0.997592740191574,0.999587859551754,0.9976340207072608,0.9996128640235006,0.0
8.0,2.0,32.0,10.0,2048.0,2.0,0.01,146.0,0.987821222783064,0.9985792077946706,0.976154957221928,0.9974323392491352,0.0
8.0,3.0,8.0,10.0,2048.0,2.0,0.001,146.0,0.9966039520124792,0.9994700502519678,0.9727808895606824,0.997582677111534,0.0
8.0,4.0,8.0,10.0,2048.0,2.0,0.01,146.0,0.9638280891752288,0.9965560396027676,0.8962653198506649,0.990640716782102,0.0
8.0,4.0,32.0,10.0,2048.0,2.0,0.01,146.0,0.9676828736806076,0.9967202093282788,0.9484618290217464,0.9949603642732748,0.0
8.0,2.0,32.0,10.0,2048.0,2.0,0.001,146.0,0.9977232930923782,0.999711342132252,0.9959079207055984,0.9994059022940038,0.0
8.0,2.0,16.0,10.0,2048.0,2.0,0.0001,146.0,0.9797061310624292,0.9967413035056736,0.949861380114716,0.991686819820596,0.0
8.0,2.0,8.0,10.0,2048.0,2.0,0.0001,146.0,0.984689721820756,0.9975814981541316,0.9604006043668986,0.9944514532961596,0.0
8.0,2.0,16.0,10.0,2048.0,2.0,0.001,146.0,0.9875740753658504,0.9983134816078744,0.953040146589245,0.9945720058111028,0.0
8.0,3.0,32.0,10.0,2048.0,2.0,0.001,146.0,0.9983705658465892,0.9997431759278028,0.9849191949089268,0.998549067464386,0.0
8.0,4.0,8.0,10.0,2048.0,2.0,0.001,146.0,0.9972300548778554,0.99952242078022,0.9884044814750348,0.9988793726875432,0.0
8.0,4.0,32.0,10.0,2048.0,2.0,0.001,146.0,0.9938648946433988,0.999145239541214,0.9618740658766434,0.99685845050376,0.0
8.0,4.0,32.0,10.0,2048.0,2.0,0.0001,146.0,0.9921893000418412,0.9992383440996108,0.9590781967857656,0.9968937492501718,0.0
8.0,4.0,16.0,10.0,2048.0,2.0,0.001,146.0,0.9955792411941788,0.9993713713779766,0.9616424074773138,0.9966491690144124,0.0
8.0,3.0,32.0,10.0,2048.0,2.0,0.0001,146.0,0.9981961406190042,0.9997129047277318,0.9701405542058924,0.9976703889386732,0.0
8.0,3.0,16.0,10.0,2048.0,2.0,0.01,146.0,0.9948475678723596,0.9992965499382072,0.9749287823293552,0.9972510135782886,0.0
8.0,3.0,16.0,10.0,2048.0,2.0,0.0001,146.0,0.995578204257138,0.999453218185266,0.9639734823822728,0.9971481247133986,0.0
8.0,4.0,16.0,10.0,2048.0,2.0,0.0001,146.0,0.9978030894298404,0.9995202929403636,0.9908499146338956,0.99855929136468,0.0
8.0,4.0,8.0,10.0,2048.0,2.0,0.0001,146.0,0.9946720366872333,0.9989926013951034,0.9851126305693928,0.9976278594806474,0.0
8.0,4.0,16.0,10.0,2048.0,2.0,0.01,146.0,0.996701006835602,0.999466343285901,0.995868040673953,0.999350281981908,0.0
8.0,3.0,8.0,10.0,2048.0,2.0,0.0001,146.0,0.9975228665179736,0.9996248052630602,0.978695280803774,0.9980277867155682,0.0
8.0,2.0,32.0,10.0,2048.0,2.0,0.0001,146.0,0.9968673849823068,0.999351120677192,0.9962585617358398,0.99927968901417,0.0
8.0,3.0,16.0,10.0,2048.0,2.0,0.001,146.0,0.9978511994414784,0.999623342817782,0.965452388838462,0.9972398756379534,0.0
8.0,2.0,16.0,10.0,2048.0,2.0,0.01,146.0,0.995560016991455,0.9994078647710748,0.9824063783263774,0.9976021053744364,0.0
